"id_marine";"identifier";"mmsi";"name";"flag";"type";"length";"port";"col11";"col12";"col13";"col14";"col15"
"1813";"663129";"431301604";"HOZEN MARU";"JP";"8";"104";"JP ANE OFF";"16";"79";"16";"98";"0"
"1814";"3087638";"4310203";"SAR 4310203";"JP";"3";"0";"0";"0";"0";"0";"0";"0"
"1815";"661604";"431003496";"SUZURAN";"JP";"6";"224";"JP TRG";"26";"43";"19";"230";"0"
"1816";"662920";"431300185";"FERRY SHIRAKABA";"JP";"6";"195";"JP AFG EC";"29";"40";"13";"228";"0"
"1817";"3631668";"431006942";"HOKUTO";"JP";"6";"179";"JP TRG";"27";"27";"13";"223";"0"
"1818";"1010571";"370477000";"HANJIN DURBAN";"PA";"7";"261";"BUSAN,R.O.KOREA";"32";"193";"10";"227";"0"
"1819";"349795";"273420240";"KOMMUNARY NIKOLAYEVA";"RU";"7";"134";"NAKHODKA";"18";"92";"15";"241";"0"
"1820";"664133";"431501832";"EISHIN MARU NO.18";"JP";"8";"105";"JP MUR";"16";"80";"4";"55";"0"
"1821";"661554";"431003359";"MISAKI MARU";"JP";"7";"76";"JP AFG OFF";"12";"61";"4";"238";"0"
"1822";"409534";"352352000";"CRANE POSEIDON";"PA";"8";"128";"KR ULS";"20";"103";"6";"228";"0"
"1823";"673302";"440794000";"83 CHUNG YONG";"KR";"2";"57";"BUSAN KOREA";"9";"30";"2";"233";"0"
"1824";"414523";"354470000";"VLADMIR M";"PA";"7";"139";"JP HTC";"20";"112";"8";"54";"0"
"1825";"3535513";"431700405";"KINPOU MARU NO.10";"JP";"2";"27";"CLASS B";"6";"13";"2";"211";"0"
"1826";"661163";"431002092";"EIZAN MARU NO.82";"JP";"8";"104";"JP HKP OFF";"16";"79";"2";"185";"0"
"1827";"416391";"355291000";"HAYAMA STAR";"PA";"7";"188";"JP HKP";"32";"162";"22";"232";"0"
"1828";"661310";"431002574";"HOKUTO MARU";"JP";"7";"115";"JP HKP KAMIISO";"18";"85";"13";"159";"0"
"1829";"664747";"431800044";"VENUS";"JP";"6";"137";"JP HKP>JP AOM";"22";"34";"0";"358";"0"
"1830";"664370";"431601371";"SENSHOMARU";"JP";"7";"115";"JP HKP OFF";"18";"91";"4";"274";"0"
"1831";"661458";"431003094";"AKEBONO MARU";"JP";"8";"99";"JP TMK OFF";"17";"75";"16";"250";"0"
"1832";"722293";"548853000";"PRINSESA MAGANDA";"PH";"7";"169";"JP HKP OFF";"27";"148";"17";"12";"0"
"1833";"661680";"431003865";"EISHIN MARU NO.25";"JP";"8";"105";"JP HKP OFF";"16";"83";"13";"317";"0"
"1834";"662958";"431300354";"KENKAI MARU";"JP";"7";"115";"JP HKP OFF";"18";"91";"13";"314";"0"
"1835";"663991";"431501083";"HOKUYO MARU";"JP";"7";"123";"JP HKP OFF";"20";"100";"7";"355";"0"
"1836";"663363";"431400216";"SHOSEI MARU";"JP";"8";"105";"JP HKP 4";"15";"78";"13";"171";"0"
"1837";"662262";"431028000";"HOKUHOMARU";"JP";"3";"64";"JP HKP2";"10";"24";"1";"21";"0"
"1838";"661623";"431003595";"SHIRIUCHIMARU";"JP";"8";"105";"JP SHIRIUCHI";"16";"85";"12";"339";"-720"
"1839";"662432";"431100522";"TAISETSU MARU";"JP";"7";"150";"JP HKP OFF";"25";"123";"12";"251";"0"
"1840";"664242";"431600204";"KIYOUMARU NO.5";"JP";"8";"70";"JP HKP";"11";"53";"3";"185";"0"
"1841";"663323";"431400118";"YUSHO MARU";"JP";"8";"80";"JP HKP OFF";"12";"62";"3";"161";"0"
"1842";"664773";"431800596";"ESAN 2000";"JP";"6";"110";"JP HKP 4>JP AOM";"17";"30";"13";"172";"0"
"1843";"664761";"431800201";"ASAKAZE NO.5";"JP";"6";"100";"JP HKP4 >JP AOM";"15";"27";"10";"170";"0"
"1844";"662078";"431005263";"BLUE MERMAID";"JP";"6";"144";"JP HKP 4>JP AOM";"23";"27";"19";"169";"0"
"1845";"662042";"431005182";"HAYABUSA";"JP";"6";"115";"JP HKP=JP AOM";"19";"27";"17";"170";"0"
"1846";"664774";"431800597";"HAYABUSA NO3";"JP";"6";"100";"JP HKP 4>JP AOM";"16";"25";"8";"351";"0"
"1847";"3087292";"4310121";"VTS 4310121";"JP";"0";"0";"0";"0";"0";"0";"0";"0"
"1848";"662497";"431100906";"CHIHAYA MARU";"JP";"7";"135";"JP HKP 1";"19";"110";"10";"81";"0"
"1849";"662210";"431005668";"SHINKO MARU NO.21";"JP";"7";"75";"JP HKP OFF";"12";"62";"7";"245";"-720"
"1850";"661194";"431002215";"MEIRIN MARU";"JP";"7";"75";"";"12";"64";"9";"257";"0"
"1851";"660927";"431001010";"OSHORO MARU";"JP";"3";"78";"JP HKP 2";"13";"24";"2";"206";"0"
"1852";"661072";"431001544";"BLUE DOLPHIN";"JP";"6";"137";"JP HKP4/AOM";"22";"46";"4";"194";"0"
"1853";"3725815";"431006572";"431006572";"JP";"0";"0";"0";"0";"0";"0";"236";"0"
"1854";"660861";"431000876";"ASAKAZE 21";"JP";"6";"102";"JP HKP3 >JP AOM";"16";"25";"3";"192";"0"
"1855";"3537709";"431500527";"OUSHOUMARU";"JP";"7";"76";"CLASS B";"12";"68";"3";"252";"0"
"1856";"662948";"431300334";"TOKUYO MARU NO.7";"JP";"8";"71";"JP AOM";"12";"53";"8";"171";"0"
